"local_path","source_type","original_source_url","author_or_uploader","license_or_permission_basis","modified","review_status"
"assets/images/items/runestone/mint-breath.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/obby-breaker.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/potent-poison.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/rubys-fire.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/sculk-smite.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/solar-lure.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/treefeller.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/variants/common-runestone.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/variants/epic-runestone.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/variants/legendary-runestone.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/variants/mithril-runestone.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/variants/rare-runestone.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/runestone/vein-miner.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-axe.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-boots.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-bow.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-chestplate.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-fishing-rod.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-helmet.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-hoe.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-leggings.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-pickaxe.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-shovel.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/aerondight/aerondight-sword.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-axe.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-boots.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-bow.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-chestplate.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-fishing-rod.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-helmet.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-hoe.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-leggings.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-pickaxe.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/set-gear/athanasia/athanasia-shovel.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
